Year,Month,Yearmon,Deaths,Race,Population,Rate,n
2009,2,Feb 2009,505,Black,39104815,1.2914010717094557,2009.0833333333333
2009,2,Feb 2009,210,Hispanic,44395754,0.47301820800250405,2009.0833333333333
2009,2,Feb 2009,383,White,199993079,0.19150662708683036,2009.0833333333333
2009,3,Mar 2009,15,Indian,2552151,0.587739518547296,2009.1666666666667
2009,3,Mar 2009,36,Asian,15793995,0.22793473088980973,2009.1666666666667
2009,3,Mar 2009,604,Black,39104815,1.5445668263614085,2009.1666666666667
2009,3,Mar 2009,248,Hispanic,44395754,0.5586119789743857,2009.1666666666667
2009,3,Mar 2009,474,White,199993079,0.23700820166881875,2009.1666666666667
2009,4,Apr 2009,23,Indian,2552151,0.9012005951058539,2009.25
2009,4,Apr 2009,33,Asian,15793995,0.20894016998232556,2009.25
2009,4,Apr 2009,638,Black,39104815,1.6315126410903618,2009.25
2009,4,Apr 2009,261,Hispanic,44395754,0.5878940585173978,2009.25
2009,4,Apr 2009,473,White,199993079,0.23650818436571996,2009.25
2009,5,May 2009,24,Indian,2552151,0.9403832296756737,2009.3333333333333
2009,5,May 2009,24,Asian,15793995,0.15195648725987312,2009.3333333333333
2009,5,May 2009,727,Black,39104815,1.8591060972926223,2009.3333333333333
2009,5,May 2009,278,Hispanic,44395754,0.6261860086890292,2009.3333333333333
2009,5,May 2009,447,White,199993079,0.22350773448515185,2009.3333333333333
2009,6,Jun 2009,19,Indian,2552151,0.744470056826575,2009.4166666666667
2009,6,Jun 2009,25,Asian,15793995,0.15828800756236786,2009.4166666666667
2009,6,Jun 2009,699,Black,39104815,1.7875036616334843,2009.4166666666667
2009,6,Jun 2009,276,Hispanic,44395754,0.6216810733747196,2009.4166666666667
2009,6,Jun 2009,438,White,199993079,0.2190075787572629,2009.4166666666667
2009,7,Jul 2009,26,Indian,2552151,1.018748498815313,2009.5
2009,7,Jul 2009,39,Asian,15793995,0.24692929179729384,2009.5
2009,7,Jul 2009,773,Black,39104815,1.9767386701612066,2009.5
2009,7,Jul 2009,301,Hispanic,44395754,0.677992764803589,2009.5
2009,7,Jul 2009,479,White,199993079,0.23950828818431263,2009.5
2009,8,Aug 2009,23,Indian,2552151,0.9012005951058539,2009.5833333333333
2009,8,Aug 2009,25,Asian,15793995,0.15828800756236786,2009.5833333333333
2009,8,Aug 2009,725,Black,39104815,1.853991637602684,2009.5833333333333
2009,8,Aug 2009,302,Hispanic,44395754,0.6802452324607439,2009.5833333333333
2009,8,Aug 2009,441,White,199993079,0.22050763066655923,2009.5833333333333
2009,9,Sep 2009,14,Indian,2552151,0.5485568839774763,2009.6666666666667
2009,9,Sep 2009,13,Asian,15793995,0.08230976393243128,2009.6666666666667
2009,9,Sep 2009,629,Black,39104815,1.6084975724856392,2009.6666666666667
2009,9,Sep 2009,267,Hispanic,44395754,0.6014088644603266,2009.6666666666667
2009,9,Sep 2009,427,White,199993079,0.21350738842317638,2009.6666666666667
2009,10,Oct 2009,31,Indian,2552151,1.2146616716644119,2009.75
2009,10,Oct 2009,23,Asian,15793995,0.14562496695737842,2009.75
2009,10,Oct 2009,670,Black,39104815,1.713343996129377,2009.75
2009,10,Oct 2009,226,Hispanic,44395754,0.5090576905169805,2009.75
2009,10,Oct 2009,447,White,199993079,0.22350773448515185,2009.75
2009,11,Nov 2009,12,Indian,2552151,0.47019161483783684,2009.8333333333333
2009,11,Nov 2009,17,Asian,15793995,0.10763584514241013,2009.8333333333333
2009,11,Nov 2009,628,Black,39104815,1.6059403426406698,2009.8333333333333
2009,11,Nov 2009,257,Hispanic,44395754,0.5788841878887787,2009.8333333333333
2009,11,Nov 2009,483,White,199993079,0.2415083573967077,2009.8333333333333
2009,12,Dec 2009,17,Indian,2552151,0.6661047876869355,2009.9166666666667
2009,12,Dec 2009,42,Asian,15793995,0.265923852704778,2009.9166666666667
2009,12,Dec 2009,625,Black,39104815,1.598268653105762,2009.9166666666667
2009,12,Dec 2009,244,Hispanic,44395754,0.5496021083457666,2009.9166666666667
2009,12,Dec 2009,441,White,199993079,0.22050763066655923,2009.9166666666667
2010,1,Jan 2010,14,Indian,2569567,0.5448388775229445,2010
2010,1,Jan 2010,28,Asian,16133872,0.17354792451557816,2010
2010,1,Jan 2010,617,Black,39437133,1.5645153515596584,2010
2010,1,Jan 2010,234,Hispanic,45295968,0.5166022724141804,2010
2010,1,Jan 2010,426,White,200127372,0.21286443515582665,2010
2010,2,Feb 2010,16,Indian,2569567,0.6226730028833651,2010.0833333333333
2010,2,Feb 2010,23,Asian,16133872,0.1425572237092249,2010.0833333333333
2010,2,Feb 2010,477,Black,39437133,1.209519971951308,2010.0833333333333
2010,2,Feb 2010,192,Hispanic,45295968,0.42387878762189163,2010.0833333333333
2010,2,Feb 2010,360,White,200127372,0.1798854381598535,2010.0833333333333
2010,3,Mar 2010,16,Indian,2569567,0.6226730028833651,2010.1666666666667
2010,3,Mar 2010,21,Asian,16133872,0.1301609433866836,2010.1666666666667
2010,3,Mar 2010,627,Black,39437133,1.589872164388826,2010.1666666666667
2010,3,Mar 2010,244,Hispanic,45295968,0.5386792926028205,2010.1666666666667
2010,3,Mar 2010,416,White,200127372,0.20786761742916404,2010.1666666666667
2010,4,Apr 2010,23,Indian,2569567,0.8950924416448375,2010.25
2010,4,Apr 2010,19,Asian,16133872,0.11776466306414232,2010.25
2010,4,Apr 2010,680,Black,39437133,1.7242632723834161,2010.25
2010,4,Apr 2010,225,Hispanic,45295968,0.4967329542444042,2010.25
2010,4,Apr 2010,444,White,200127372,0.22185870706381933,2010.25
2010,5,May 2010,22,Indian,2569567,0.8561753789646271,2010.3333333333333
2010,5,May 2010,20,Asian,16133872,0.12396280322541298,2010.3333333333333
2010,5,May 2010,679,Black,39437133,1.7217275911004992,2010.3333333333333
2010,5,May 2010,283,Hispanic,45295968,0.6247796713385174,2010.3333333333333
2010,5,May 2010,455,White,200127372,0.2273552065631482,2010.3333333333333
2010,6,Jun 2010,22,Indian,2569567,0.8561753789646271,2010.4166666666667
2010,6,Jun 2010,28,Asian,16133872,0.17354792451557816,2010.4166666666667
2010,6,Jun 2010,724,Black,39437133,1.8358332488317544,2010.4166666666667
2010,6,Jun 2010,228,Hispanic,45295968,0.5033560603009963,2010.4166666666667
2010,6,Jun 2010,434,White,200127372,0.21686188933715672,2010.4166666666667
2010,7,Jul 2010,31,Indian,2569567,1.20642894308652,2010.5
2010,7,Jul 2010,26,Asian,16133872,0.16115164419303687,2010.5
2010,7,Jul 2010,765,Black,39437133,1.939796181431343,2010.5
2010,7,Jul 2010,248,Hispanic,45295968,0.5475101006782767,2010.5
2010,7,Jul 2010,473,White,200127372,0.23634947847114085,2010.5
2010,8,Aug 2010,21,Indian,2569567,0.8172583162844168,2010.5833333333333
2010,8,Aug 2010,36,Asian,16133872,0.22313304580574334,2010.5833333333333
2010,8,Aug 2010,671,Black,39437133,1.7014421408371647,2010.5833333333333
2010,8,Aug 2010,263,Hispanic,45295968,0.580625630961237,2010.5833333333333
2010,8,Aug 2010,496,White,200127372,0.24784215924246483,2010.5833333333333
2010,9,Sep 2010,16,Indian,2569567,0.6226730028833651,2010.6666666666667
2010,9,Sep 2010,29,Asian,16133872,0.1797460646768488,2010.6666666666667
2010,9,Sep 2010,651,Black,39437133,1.650728515178829,2010.6666666666667
2010,9,Sep 2010,231,Hispanic,45295968,0.5099791663575884,2010.6666666666667
2010,9,Sep 2010,456,White,200127372,0.22785488833581444,2010.6666666666667
2010,10,Oct 2010,18,Indian,2569567,0.7005071282437858,2010.75
2010,10,Oct 2010,22,Asian,16133872,0.13635908354795426,2010.75
2010,10,Oct 2010,651,Black,39437133,1.650728515178829,2010.75
2010,10,Oct 2010,239,Hispanic,45295968,0.5276407825085005,2010.75
2010,10,Oct 2010,479,White,200127372,0.23934756910713842,2010.75
2010,11,Nov 2010,26,Indian,2569567,1.0118436296854683,2010.8333333333333
2010,11,Nov 2010,28,Asian,16133872,0.17354792451557816,2010.8333333333333
2010,11,Nov 2010,629,Black,39437133,1.59494352695466,2010.8333333333333
2010,11,Nov 2010,246,Hispanic,45295968,0.5430946966405487,2010.8333333333333
2010,11,Nov 2010,386,White,200127372,0.19287716424917625,2010.8333333333333
2010,12,Dec 2010,19,Indian,2569567,0.7394241909239961,2010.9166666666667
2010,12,Dec 2010,32,Asian,16133872,0.19834048516066075,2010.9166666666667
2010,12,Dec 2010,603,Black,39437133,1.5290158135988232,2010.9166666666667
2010,12,Dec 2010,200,Hispanic,45295968,0.4415404037728038,2010.9166666666667
2010,12,Dec 2010,430,White,200127372,0.2148631622464917,2010.9166666666667
2011,1,Jan 2011,31,Indian,2598792,1.1928619143048,2011
2011,1,Jan 2011,30,Asian,16579709,0.18094406843931943,2011
2011,1,Jan 2011,621,Black,39944896,1.554641674370613,2011
2011,1,Jan 2011,204,Hispanic,46671088,0.43710144490310576,2011
2011,1,Jan 2011,455,White,200423243,0.22701957776424167,2011
2011,2,Feb 2011,11,Indian,2598792,0.4232735824952516,2011.0833333333333
2011,2,Feb 2011,22,Asian,16579709,0.1326923168555009,2011.0833333333333
2011,2,Feb 2011,486,Black,39944896,1.2166760929856972,2011.0833333333333
2011,2,Feb 2011,182,Hispanic,46671088,0.38996305378610413,2011.0833333333333
2011,2,Feb 2011,352,White,200423243,0.17562833268794079,2011.0833333333333
2011,3,Mar 2011,13,Indian,2598792,0.5002324156762065,2011.1666666666667
2011,3,Mar 2011,22,Asian,16579709,0.1326923168555009,2011.1666666666667
2011,3,Mar 2011,585,Black,39944896,1.4645175193346354,2011.1666666666667
2011,3,Mar 2011,219,Hispanic,46671088,0.4692412570283341,2011.1666666666667
2011,3,Mar 2011,442,White,200423243,0.22053330411383473,2011.1666666666667
2011,4,Apr 2011,14,Indian,2598792,0.538711832266684,2011.25
2011,4,Apr 2011,36,Asian,16579709,0.2171328821271833,2011.25
2011,4,Apr 2011,668,Black,39944896,1.6723037656675839,2011.25
2011,4,Apr 2011,218,Hispanic,46671088,0.46709860288665217,2011.25
2011,4,Apr 2011,459,White,200423243,0.22901535427205916,2011.25
2011,5,May 2011,20,Indian,2598792,0.7695883318095483,2011.3333333333333
2011,5,May 2011,44,Asian,16579709,0.2653846337110018,2011.3333333333333
2011,5,May 2011,706,Black,39944896,1.76743481820556,2011.3333333333333
2011,5,May 2011,264,Hispanic,46671088,0.5656606934040191,2011.3333333333333
2011,5,May 2011,456,White,200423243,0.22751852189119603,2011.3333333333333
2011,6,Jun 2011,17,Indian,2598792,0.6541500820381161,2011.4166666666667
2011,6,Jun 2011,24,Asian,16579709,0.1447552547514555,2011.4166666666667
2011,6,Jun 2011,676,Black,39944896,1.6923313556755786,2011.4166666666667
