"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"2007"	"2007"	"May, 2007"	"2007/05"	1524	Not Applicable	Not Applicable
	"2007"	"2007"	"Jun., 2007"	"2007/06"	1669	Not Applicable	Not Applicable
	"2007"	"2007"	"Jul., 2007"	"2007/07"	1760	Not Applicable	Not Applicable
	"2007"	"2007"	"Aug., 2007"	"2007/08"	1709	Not Applicable	Not Applicable
	"2007"	"2007"	"Sep., 2007"	"2007/09"	1520	Not Applicable	Not Applicable
	"2007"	"2007"	"Oct., 2007"	"2007/10"	1528	Not Applicable	Not Applicable
	"2007"	"2007"	"Nov., 2007"	"2007/11"	1402	Not Applicable	Not Applicable
	"2007"	"2007"	"Dec., 2007"	"2007/12"	1535	Not Applicable	Not Applicable
"Total"	"2007"	"2007"			18361	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	1400	Not Applicable	Not Applicable
	"2008"	"2008"	"Feb., 2008"	"2008/02"	1317	Not Applicable	Not Applicable
	"2008"	"2008"	"Mar., 2008"	"2008/03"	1441	Not Applicable	Not Applicable
	"2008"	"2008"	"Apr., 2008"	"2008/04"	1496	Not Applicable	Not Applicable
	"2008"	"2008"	"May, 2008"	"2008/05"	1469	Not Applicable	Not Applicable
	"2008"	"2008"	"Jun., 2008"	"2008/06"	1576	Not Applicable	Not Applicable
	"2008"	"2008"	"Jul., 2008"	"2008/07"	1633	Not Applicable	Not Applicable
	"2008"	"2008"	"Aug., 2008"	"2008/08"	1596	Not Applicable	Not Applicable
	"2008"	"2008"	"Sep., 2008"	"2008/09"	1571	Not Applicable	Not Applicable
	"2008"	"2008"	"Oct., 2008"	"2008/10"	1485	Not Applicable	Not Applicable
	"2008"	"2008"	"Nov., 2008"	"2008/11"	1449	Not Applicable	Not Applicable
	"2008"	"2008"	"Dec., 2008"	"2008/12"	1393	Not Applicable	Not Applicable
"Total"	"2008"	"2008"			17826	Not Applicable	Not Applicable
	"2009"	"2009"	"Jan., 2009"	"2009/01"	1348	Not Applicable	Not Applicable
	"2009"	"2009"	"Feb., 2009"	"2009/02"	1121	Not Applicable	Not Applicable
	"2009"	"2009"	"Mar., 2009"	"2009/03"	1362	Not Applicable	Not Applicable
	"2009"	"2009"	"Apr., 2009"	"2009/04"	1421	Not Applicable	Not Applicable
	"2009"	"2009"	"May, 2009"	"2009/05"	1497	Not Applicable	Not Applicable
	"2009"	"2009"	"Jun., 2009"	"2009/06"	1459	Not Applicable	Not Applicable
	"2009"	"2009"	"Jul., 2009"	"2009/07"	1610	Not Applicable	Not Applicable
	"2009"	"2009"	"Aug., 2009"	"2009/08"	1512	Not Applicable	Not Applicable
	"2009"	"2009"	"Sep., 2009"	"2009/09"	1347	Not Applicable	Not Applicable
	"2009"	"2009"	"Oct., 2009"	"2009/10"	1389	Not Applicable	Not Applicable
	"2009"	"2009"	"Nov., 2009"	"2009/11"	1381	Not Applicable	Not Applicable
	"2009"	"2009"	"Dec., 2009"	"2009/12"	1352	Not Applicable	Not Applicable
"Total"	"2009"	"2009"			16799	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	1311	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	1049	Not Applicable	Not Applicable
	"2010"	"2010"	"Mar., 2010"	"2010/03"	1298	Not Applicable	Not Applicable
	"2010"	"2010"	"Apr., 2010"	"2010/04"	1379	Not Applicable	Not Applicable
	"2010"	"2010"	"May, 2010"	"2010/05"	1448	Not Applicable	Not Applicable
	"2010"	"2010"	"Jun., 2010"	"2010/06"	1425	Not Applicable	Not Applicable
	"2010"	"2010"	"Jul., 2010"	"2010/07"	1537	Not Applicable	Not Applicable
	"2010"	"2010"	"Aug., 2010"	"2010/08"	1474	Not Applicable	Not Applicable
	"2010"	"2010"	"Sep., 2010"	"2010/09"	1368	Not Applicable	Not Applicable
	"2010"	"2010"	"Oct., 2010"	"2010/10"	1393	Not Applicable	Not Applicable
	"2010"	"2010"	"Nov., 2010"	"2010/11"	1307	Not Applicable	Not Applicable
	"2010"	"2010"	"Dec., 2010"	"2010/12"	1270	Not Applicable	Not Applicable
"Total"	"2010"	"2010"			16259	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	1303	Not Applicable	Not Applicable
	"2011"	"2011"	"Feb., 2011"	"2011/02"	1023	Not Applicable	Not Applicable
	"2011"	"2011"	"Mar., 2011"	"2011/03"	1249	Not Applicable	Not Applicable
	"2011"	"2011"	"Apr., 2011"	"2011/04"	1367	Not Applicable	Not Applicable
	"2011"	"2011"	"May, 2011"	"2011/05"	1467	Not Applicable	Not Applicable
	"2011"	"2011"	"Jun., 2011"	"2011/06"	1368	Not Applicable	Not Applicable
	"2011"	"2011"	"Jul., 2011"	"2011/07"	1605	Not Applicable	Not Applicable
	"2011"	"2011"	"Aug., 2011"	"2011/08"	1443	Not Applicable	Not Applicable
	"2011"	"2011"	"Sep., 2011"	"2011/09"	1386	Not Applicable	Not Applicable
	"2011"	"2011"	"Oct., 2011"	"2011/10"	1385	Not Applicable	Not Applicable
	"2011"	"2011"	"Nov., 2011"	"2011/11"	1284	Not Applicable	Not Applicable
	"2011"	"2011"	"Dec., 2011"	"2011/12"	1358	Not Applicable	Not Applicable
"Total"	"2011"	"2011"			16238	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	1330	Not Applicable	Not Applicable
	"2012"	"2012"	"Feb., 2012"	"2012/02"	1103	Not Applicable	Not Applicable
	"2012"	"2012"	"Mar., 2012"	"2012/03"	1373	Not Applicable	Not Applicable
	"2012"	"2012"	"Apr., 2012"	"2012/04"	1349	Not Applicable	Not Applicable
	"2012"	"2012"	"May, 2012"	"2012/05"	1403	Not Applicable	Not Applicable
	"2012"	"2012"	"Jun., 2012"	"2012/06"	1415	Not Applicable	Not Applicable
	"2012"	"2012"	"Jul., 2012"	"2012/07"	1582	Not Applicable	Not Applicable
	"2012"	"2012"	"Aug., 2012"	"2012/08"	1499	Not Applicable	Not Applicable
	"2012"	"2012"	"Sep., 2012"	"2012/09"	1450	Not Applicable	Not Applicable
	"2012"	"2012"	"Oct., 2012"	"2012/10"	1406	Not Applicable	Not Applicable
	"2012"	"2012"	"Nov., 2012"	"2012/11"	1338	Not Applicable	Not Applicable
	"2012"	"2012"	"Dec., 2012"	"2012/12"	1440	Not Applicable	Not Applicable
"Total"	"2012"	"2012"			16688	Not Applicable	Not Applicable
	"2013"	"2013"	"Jan., 2013"	"2013/01"	1373	Not Applicable	Not Applicable
	"2013"	"2013"	"Feb., 2013"	"2013/02"	1078	Not Applicable	Not Applicable
	"2013"	"2013"	"Mar., 2013"	"2013/03"	1266	Not Applicable	Not Applicable
	"2013"	"2013"	"Apr., 2013"	"2013/04"	1271	Not Applicable	Not Applicable
	"2013"	"2013"	"May, 2013"	"2013/05"	1337	Not Applicable	Not Applicable
	"2013"	"2013"	"Jun., 2013"	"2013/06"	1488	Not Applicable	Not Applicable
	"2013"	"2013"	"Jul., 2013"	"2013/07"	1557	Not Applicable	Not Applicable
	"2013"	"2013"	"Aug., 2013"	"2013/08"	1387	Not Applicable	Not Applicable
	"2013"	"2013"	"Sep., 2013"	"2013/09"	1295	Not Applicable	Not Applicable
	"2013"	"2013"	"Oct., 2013"	"2013/10"	1346	Not Applicable	Not Applicable
	"2013"	"2013"	"Nov., 2013"	"2013/11"	1317	Not Applicable	Not Applicable
	"2013"	"2013"	"Dec., 2013"	"2013/12"	1406	Not Applicable	Not Applicable
"Total"	"2013"	"2013"			16121	Not Applicable	Not Applicable
	"2014"	"2014"	"Jan., 2014"	"2014/01"	1213	Not Applicable	Not Applicable
	"2014"	"2014"	"Feb., 2014"	"2014/02"	1050	Not Applicable	Not Applicable
	"2014"	"2014"	"Mar., 2014"	"2014/03"	1261	Not Applicable	Not Applicable
	"2014"	"2014"	"Apr., 2014"	"2014/04"	1277	Not Applicable	Not Applicable
	"2014"	"2014"	"May, 2014"	"2014/05"	1398	Not Applicable	Not Applicable
	"2014"	"2014"	"Jun., 2014"	"2014/06"	1376	Not Applicable	Not Applicable
	"2014"	"2014"	"Jul., 2014"	"2014/07"	1382	Not Applicable	Not Applicable
	"2014"	"2014"	"Aug., 2014"	"2014/08"	1467	Not Applicable	Not Applicable
